path,ext,bytes,modified_utc,sha256
hypersnatch.html,html,72823,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
package.json,json,1737,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/main.js,js,8473,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/preload.js,js,3812,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/constants.js,js,372,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/utils.js,js,372,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/helpers.js,js,284,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/extensions.js,js,319,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/ui-components.js,js,372,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
src/enhancements.js,js,371,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/brand_purge.js,js,2841,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/tear-compile.js,js,8614,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/build_release_pack.js,js,11435,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/verify_release_pack.js,js,10308,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/test_basic.js,js,3265,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/build_simple.js,js,118,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/verify_simple.js,js,125,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
scripts/agent_run.js,js,133,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
docs/ENHANCEMENTS_SUMMARY.md,md,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
docs/PHASE3_PROOF.md,md,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
CHATGPT_SUMMARY.md,md,0,2026-02-19T21:50:00Z,SHA256_TO_BE_CALCULATED
README.md,md,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
CHANGELOG_V15.md,md,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
config/allowlist.json,json,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
test_emload_link.py,py,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
test_real_links.py,py,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
comprehensive_test.py,py,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
fixtures/html/test_emload.html,html,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
fixtures/html/test_blocked.html,html,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
fixtures/expected/blocked_candidate.json,json,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
fixtures/expected/detected_candidate.json,json,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED
fixtures/expected/validated_candidate.json,json,0,2026-02-19T21:45:00Z,SHA256_TO_BE_CALCULATED

Note: SHA256 hashes to be calculated with actual file hashing tool
Bytes are approximate based on line counts * average line length
